Country (unit),1990 (Mton CO2eq),2000 (Mton CO2eq),2005 (Mton CO2eq),2015 (Mton CO2eq),2020 (Mton CO2eq),2022 (Mton CO2eq),2023 (Mton CO2eq),2023 % (% World Tot)
EU27,4877.28,4481.45,4553.56,3879.73,3388.28,3482.31,3221.79,6.08
GLOBAL TOTAL,32726.23,36175.15,41296.88,48808.77,49327.54,51968.47,52962.90,100.00
Afghanistan,12.56,13.92,15.57,27.41,26.65,28.61,29.46,0.06
Albania,11.49,7.18,7.98,8.74,7.97,7.81,7.67,0.01
Algeria,135.53,158.33,164.49,236.18,241.13,263.22,256.79,0.48
Angola,31.94,67.02,66.45,81.78,61.68,67.21,67.70,0.13
Anguilla,0.01,0.02,0.02,0.03,0.03,0.03,0.03,0.00
Antigua and Barbuda,0.25,0.23,0.26,0.36,0.34,0.37,0.39,0.00
Argentina,253.80,288.26,327.13,358.49,347.31,374.76,365.68,0.69
Armenia,24.31,5.94,7.32,8.82,9.99,10.36,10.84,0.02
Aruba,0.22,0.35,0.48,0.49,0.48,0.53,0.56,0.00
Australia,460.30,546.51,578.25,602.06,584.57,569.01,571.84,1.08
Austria,80.46,83.51,96.20,82.17,77.27,75.41,72.92,0.14
Azerbaijan,67.84,39.86,44.83,53.36,54.72,59.03,62.55,0.12
Bahamas,1.31,1.26,1.15,1.45,1.79,1.96,2.05,0.00
Bahrain,29.07,37.59,41.15,59.01,63.18,62.51,63.73,0.12
Bangladesh,130.10,146.01,166.01,228.56,251.56,278.49,281.38,0.53
Barbados,0.86,0.84,0.87,0.91,0.86,0.95,0.99,0.00
Belarus,139.92,80.01,83.23,89.25,88.58,86.80,84.28,0.16
Belgium,140.55,151.20,143.06,126.73,115.82,112.28,106.37,0.20
Belize,0.47,0.50,0.57,0.82,0.83,0.89,0.92,0.00
Benin,3.86,6.01,8.13,13.60,17.65,16.61,16.70,0.03
Bermuda,0.28,0.18,0.21,0.26,0.34,0.36,0.38,0.00
Bhutan,1.25,1.43,1.61,2.58,3.07,3.22,3.25,0.01
Bolivia,29.62,29.39,31.95,47.24,48.02,53.50,55.19,0.10
Bosnia and Herzegovina,32.81,19.80,23.11,27.82,30.44,30.24,29.40,0.06
Botswana,9.18,10.57,9.92,13.03,10.50,12.39,12.71,0.02
Brazil,671.58,898.96,1025.42,1252.31,1216.00,1298.49,1300.17,2.45
British Virgin Islands,0.03,0.04,0.05,0.09,0.08,0.09,0.09,0.00
Brunei,5.89,8.53,8.13,9.82,12.57,11.89,12.16,0.02
Bulgaria,103.44,62.44,66.06,63.87,53.57,64.23,53.37,0.10
Burkina Faso,11.23,14.08,20.30,28.19,28.82,34.02,34.46,0.07
Burundi,2.89,2.91,3.14,5.31,6.04,7.00,7.05,0.01
Cabo Verde,0.21,0.53,0.80,1.00,1.19,1.26,1.23,0.00
Cambodia,19.71,22.72,27.36,36.91,46.51,47.60,48.77,0.09
Cameroon,29.85,30.37,29.95,38.00,38.78,39.49,39.38,0.07
Canada,581.91,710.37,750.95,755.91,711.93,745.25,747.68,1.41
Cayman Islands,0.13,0.15,0.17,0.28,0.34,0.37,0.39,0.00
Central African Republic,7.55,9.15,9.81,11.76,12.50,13.02,12.50,0.02
Chad,17.16,26.67,36.80,62.75,81.98,91.03,95.38,0.18
Chile,58.19,84.43,91.14,116.23,124.09,125.39,121.46,0.23
China,3876.39,5242.74,8191.09,13118.90,14497.90,15159.64,15943.99,30.10
Colombia,134.68,153.54,158.02,185.61,196.50,213.11,223.97,0.42
Comoros,0.33,0.42,0.48,0.57,0.77,0.76,0.76,0.00
Congo,10.86,21.65,19.75,19.99,25.03,23.73,23.70,0.04
Cook Islands,0.05,0.07,0.09,0.11,0.14,0.15,0.15,0.00
Costa Rica,9.63,10.95,11.88,14.36,14.37,15.93,16.47,0.03
Côte d’Ivoire,10.27,16.47,17.74,26.10,29.50,32.17,32.18,0.06
Croatia,33.45,25.01,28.93,25.26,25.04,24.99,25.01,0.05
Cuba,61.89,48.85,44.10,48.64,39.52,38.24,39.40,0.07
Curaçao,2.84,5.89,6.14,5.94,2.14,2.42,2.53,0.00
Cyprus,5.42,8.13,8.99,8.37,9.33,10.08,10.32,0.02
Czechia,199.98,158.53,153.45,133.50,117.97,123.93,114.44,0.22
Democratic Republic of the Congo,25.46,26.79,25.95,45.45,50.79,55.59,56.11,0.11
Denmark,69.05,69.57,66.08,49.16,43.56,43.23,41.83,0.08
Djibouti,1.84,1.87,1.93,2.06,2.08,2.12,2.13,0.00
Dominica,0.08,0.12,0.12,0.14,0.13,0.14,0.15,0.00
Dominican Republic,17.28,28.16,29.65,38.09,43.01,46.41,48.40,0.09
Ecuador,37.98,45.56,55.97,71.77,64.55,70.66,73.60,0.14
Egypt,147.66,196.06,256.04,322.20,306.76,333.34,335.97,0.63
El Salvador,7.20,10.36,12.23,11.84,11.22,12.52,13.05,0.02
Equatorial Guinea,0.18,12.01,15.61,14.28,9.34,8.18,6.98,0.01
Eritrea,4.68,5.43,5.46,6.00,6.30,6.37,6.40,0.01
Estonia,44.46,20.68,22.54,23.92,14.51,15.57,14.36,0.03
Eswatini,3.22,3.25,3.19,2.93,3.03,3.24,3.29,0.01
Ethiopia,62.85,71.81,89.57,139.17,169.99,166.83,170.03,0.32
Falkland Islands,0.16,0.15,0.16,0.16,0.16,0.17,0.17,0.00
Faroes,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.00
Fiji,2.21,2.86,3.16,2.60,3.09,3.31,3.40,0.01
Finland,72.22,73.73,73.72,60.22,52.65,48.22,43.45,0.08
France and Monaco,533.01,540.24,542.97,460.38,398.35,416.11,385.52,0.73
French Guiana,0.37,0.33,0.34,0.52,0.54,0.55,0.57,0.00
French Polynesia,0.95,0.82,1.04,1.11,1.21,1.33,1.37,0.00
Gabon,20.40,27.90,26.24,21.36,19.76,19.76,21.40,0.04
Georgia,41.87,11.34,11.23,16.57,17.35,18.72,19.05,0.04
Germany,1235.87,1035.38,983.70,907.52,749.80,761.98,681.81,1.29
Ghana,10.38,15.27,17.45,33.31,45.35,48.20,48.27,0.09
Gibraltar,0.16,0.36,0.42,0.61,0.66,0.70,0.71,0.00
Greece,99.06,121.05,128.19,91.50,71.71,73.15,69.27,0.13
Greenland,0.06,0.06,0.68,0.59,0.59,0.64,0.65,0.00
Grenada,0.09,0.10,0.12,0.17,0.18,0.19,0.20,0.00
Guadeloupe,0.93,0.87,0.96,1.41,1.41,1.41,1.46,0.00
Guatemala,13.10,21.67,25.64,36.19,39.30,42.31,43.98,0.08
Guinea,7.80,11.33,13.46,22.27,26.33,27.96,28.63,0.05
Guinea-Bissau,1.66,2.01,2.15,2.81,2.89,3.00,3.00,0.01
Guyana,3.76,4.70,4.35,5.69,7.37,8.29,8.19,0.02
Haiti,7.33,9.65,10.28,13.36,13.50,13.51,13.66,0.03
Honduras,9.12,11.44,15.56,21.40,20.33,22.11,22.92,0.04
Hong Kong,39.20,46.65,47.63,49.36,40.52,38.03,40.17,0.08
Hungary,96.75,77.49,79.70,63.41,65.84,64.27,60.93,0.12
Iceland,4.41,3.91,4.24,4.83,4.20,4.37,4.17,0.01
India,1383.06,1845.45,2120.89,3302.49,3433.62,3897.21,4133.55,7.80
Indonesia,397.10,562.89,649.50,907.32,1050.34,1152.73,1200.20,2.27
International Aviation,264.26,360.06,434.74,543.35,302.63,416.95,498.18,0.94
International Shipping,395.34,535.21,608.74,702.19,671.58,739.01,746.94,1.41
Iran,332.72,512.10,651.45,801.40,889.29,960.49,996.75,1.88
Iraq,172.02,168.34,164.72,275.92,331.58,365.30,362.78,0.68
Ireland,57.25,74.47,76.01,64.99,59.26,60.38,57.85,0.11
"Israel and Palestine, State of",41.81,69.03,71.80,82.36,78.13,80.74,79.58,0.15
"Italy, San Marino and the Holy See",511.71,543.54,580.46,429.80,369.46,403.12,374.12,0.71
Jamaica,9.20,11.94,12.28,8.36,7.16,7.66,8.16,0.02
Japan,1317.22,1391.12,1401.41,1333.58,1168.75,1107.58,1041.01,1.97
Jordan,12.14,19.73,24.79,32.67,30.31,31.82,33.41,0.06
Kazakhstan,347.02,177.11,242.16,270.57,300.44,320.92,320.35,0.60
Kenya,38.35,41.28,52.72,82.65,108.42,104.29,107.98,0.20
Kiribati,0.03,0.05,0.08,0.09,0.12,0.13,0.13,0.00
Kuwait,50.54,88.06,120.00,142.56,149.03,165.38,167.92,0.32
Kyrgyzstan,33.37,10.91,11.90,19.57,20.01,21.42,21.70,0.04
Laos,8.02,9.77,11.10,22.40,34.48,40.07,42.06,0.08
Latvia,27.08,10.19,11.67,11.96,11.65,11.08,10.96,0.02
Lebanon,7.76,18.16,20.37,32.42,28.49,23.97,24.67,0.05
Lesotho,2.12,2.66,2.73,2.70,2.43,2.65,2.60,0.00
Liberia,1.71,2.09,2.60,3.87,4.36,4.56,4.53,0.01
Libya,87.06,91.73,104.39,71.92,64.38,89.00,95.93,0.18
Lithuania,46.71,18.44,21.66,23.28,22.68,20.80,20.68,0.04
Luxembourg,12.92,9.79,13.06,10.24,8.84,8.13,7.86,0.01
Macao,1.01,1.54,2.13,2.86,2.97,3.03,3.12,0.01
Madagascar,23.92,25.85,26.09,31.02,31.73,33.29,33.15,0.06
Malawi,5.87,8.14,8.94,13.53,17.30,18.60,19.71,0.04
Malaysia,92.34,163.96,221.30,296.05,294.67,315.79,325.41,0.61
Maldives,0.14,0.70,0.77,1.74,2.70,2.99,3.09,0.01
Mali,12.58,16.47,21.05,33.34,43.49,44.83,45.46,0.09
Malta,2.49,2.34,2.89,2.05,1.98,2.11,2.03,0.00
Martinique,0.90,0.83,0.86,1.17,0.90,1.17,1.22,0.00
Mauritania,6.65,9.14,10.42,13.41,16.00,16.44,16.51,0.03
Mauritius,1.84,3.24,3.68,5.53,5.57,5.97,6.20,0.01
Mexico,440.32,566.05,624.49,692.73,643.88,687.54,712.10,1.34
Moldova,37.38,9.87,11.21,11.56,12.31,12.95,13.54,0.03
Mongolia,25.74,25.14,24.67,48.69,65.53,66.88,83.70,0.16
Morocco,42.46,56.65,70.59,93.47,103.18,106.45,106.60,0.20
Mozambique,8.84,10.85,14.67,25.25,28.51,34.43,33.95,0.06
Myanmar/Burma,67.36,83.22,100.49,121.88,121.14,118.34,115.08,0.22
Namibia,6.55,8.34,10.52,11.78,11.26,12.78,12.89,0.02
Nepal,30.40,34.30,36.00,43.22,54.86,55.85,56.83,0.11
Netherlands,223.19,225.07,221.35,201.01,170.50,161.17,150.75,0.28
New Caledonia,1.93,2.51,2.91,4.88,6.91,6.28,6.61,0.01
New Zealand,71.27,81.27,87.51,86.03,84.78,83.39,84.21,0.16
Nicaragua,10.14,13.01,14.25,18.96,19.14,20.22,20.63,0.04
Niger,10.76,16.22,20.04,29.57,37.15,40.92,42.33,0.08
Nigeria,278.31,405.32,382.54,382.05,381.24,380.16,385.11,0.73
North Korea,167.65,101.24,110.74,60.87,96.75,85.69,90.15,0.17
North Macedonia,14.40,11.41,12.36,10.56,10.29,11.00,11.37,0.02
Norway,54.67,56.88,58.64,61.05,57.14,57.25,56.72,0.11
Oman,34.96,52.06,62.19,109.23,113.21,125.24,127.44,0.24
Pakistan,201.49,279.35,328.25,433.01,525.80,536.05,532.37,1.01
Palau,2.34,2.24,1.84,1.25,1.34,1.46,1.50,0.00
Panama,7.05,9.77,12.46,16.45,15.81,18.46,21.28,0.04
Papua New Guinea,4.07,6.08,8.95,9.65,9.62,9.51,9.64,0.02
Paraguay,20.80,24.88,25.81,40.76,42.56,41.61,41.62,0.08
Peru,44.65,58.23,62.29,87.73,81.03,92.20,94.05,0.18
Philippines,101.19,138.31,150.08,196.07,229.35,244.53,256.15,0.48
Poland,512.85,414.86,411.43,388.63,377.51,397.22,363.79,0.69
Portugal,58.52,80.88,83.27,66.70,57.45,56.22,53.00,0.10
Puerto Rico,21.75,27.85,29.35,14.63,14.67,14.88,16.06,0.03
Qatar,26.29,60.00,65.67,139.64,140.15,144.46,154.38,0.29
Réunion,1.16,2.34,2.69,2.88,2.90,2.90,2.92,0.01
Romania,241.36,130.76,138.66,114.24,110.77,110.96,105.85,0.20
Russia,3065.70,2089.10,2174.74,2257.64,2395.62,2621.52,2672.04,5.05
Rwanda,5.57,3.98,4.70,6.78,7.53,7.47,7.49,0.01
"Saint Helena, Ascension and Tristan da Cunha",0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.00
Saint Kitts and Nevis,0.06,0.09,0.11,0.14,0.14,0.17,0.17,0.00
Saint Lucia,0.15,0.21,0.23,0.31,0.40,0.43,0.45,0.00
Saint Pierre and Miquelon,0.10,0.02,0.03,0.04,0.04,0.05,0.05,0.00
Saint Vincent and the Grenadines,0.08,0.09,0.12,0.15,0.14,0.15,0.15,0.00
Samoa,0.30,0.36,0.41,0.57,0.57,0.64,0.65,0.00
São Tomé and Príncipe,0.08,0.11,0.16,0.22,0.26,0.29,0.30,0.00
Saudi Arabia,236.54,350.22,457.06,752.73,733.06,786.96,805.16,1.52
Senegal,9.94,13.57,16.06,23.30,26.97,28.79,28.84,0.05
Serbia and Montenegro,85.33,65.84,76.57,69.87,71.44,69.03,67.21,0.13
Seychelles,0.32,0.83,1.03,1.06,1.22,1.30,1.34,0.00
Sierra Leone,4.02,3.58,5.04,6.44,6.63,6.93,6.94,0.01
Singapore,33.76,57.24,50.33,65.75,68.07,71.85,74.29,0.14
Slovakia,75.24,51.49,52.22,44.35,42.52,45.49,44.78,0.08
Slovenia,21.43,20.42,23.55,18.84,17.83,17.16,15.99,0.03
Solomon Islands,0.31,0.41,0.50,0.59,0.65,0.70,0.72,0.00
Somalia,25.57,28.17,30.99,30.75,32.44,32.36,32.50,0.06
South Africa,407.00,451.25,549.82,583.29,541.71,533.03,522.12,0.99
South Korea,325.07,538.54,573.39,709.36,689.11,668.32,653.85,1.23
Spain and Andorra,297.74,396.60,452.78,350.24,290.39,304.89,285.38,0.54
Sri Lanka,21.09,26.12,30.01,38.49,39.80,37.67,38.40,0.07
Sudan and South Sudan,60.62,94.85,113.91,129.58,136.67,137.73,138.74,0.26
Suriname,2.33,2.52,2.60,3.87,3.75,3.66,3.74,0.01
Sweden,75.09,75.61,70.96,57.39,52.04,50.13,49.12,0.09
Switzerland and Liechtenstein,54.67,53.59,56.07,49.32,44.98,43.56,43.45,0.08
Syria,63.41,84.96,86.41,41.15,40.54,40.21,41.21,0.08
Taiwan,146.68,259.41,342.60,323.57,316.77,315.86,308.00,0.58
Tajikistan,22.01,10.51,11.81,15.26,21.04,21.20,21.44,0.04
Tanzania,28.65,38.74,46.51,71.38,83.31,87.58,89.82,0.17
Thailand,217.05,293.94,367.71,428.13,433.72,442.49,440.78,0.83
The Gambia,0.95,1.26,1.49,2.08,1.92,1.92,1.89,0.00
Timor-Leste,0.52,0.93,2.14,2.24,1.91,2.02,2.01,0.00
Togo,3.31,4.80,5.53,7.46,9.60,10.48,10.61,0.02
Tonga,0.19,0.21,0.23,0.25,0.31,0.33,0.34,0.00
Trinidad and Tobago,15.90,23.47,41.55,43.31,36.51,34.80,34.19,0.06
Tunisia,23.22,31.63,34.85,42.36,40.20,42.44,43.58,0.08
Turkmenistan,61.31,59.69,81.20,100.35,99.79,99.82,98.79,0.19
Turks and Caicos Islands,0.01,0.03,0.04,0.09,0.10,0.11,0.11,0.00
Türkiye,221.69,314.19,327.85,496.65,583.36,598.84,606.43,1.15
Uganda,15.10,19.42,23.47,42.99,50.20,53.08,53.37,0.10
Ukraine,968.53,454.53,451.60,310.61,287.55,216.47,216.09,0.41
United Arab Emirates,79.50,117.24,155.53,253.99,249.32,267.63,267.82,0.51
United Kingdom,760.61,691.04,672.94,501.08,399.60,406.52,379.32,0.72
United States,6209.29,7203.33,7123.63,6329.00,5671.60,6046.22,5960.80,11.25
Uruguay,29.25,34.20,37.70,39.99,38.92,42.15,41.63,0.08
Uzbekistan,164.50,167.62,175.63,173.84,197.99,216.30,214.53,0.41
Vanuatu,0.47,0.53,0.54,0.64,0.63,0.66,0.67,0.00
Venezuela,163.32,222.22,244.06,262.19,136.34,143.91,152.39,0.29
Viet Nam,104.42,164.30,226.49,344.06,497.42,473.63,524.13,0.99
Western Sahara,0.40,0.56,0.61,0.62,0.60,0.68,0.68,0.00
Yemen,17.51,32.43,44.18,31.43,32.88,33.18,32.24,0.06
Zambia,15.48,14.83,16.12,23.62,27.34,29.85,30.48,0.06
Zimbabwe,34.35,32.47,27.26,30.21,26.77,29.83,31.02,0.06
